CodigoLicitacion;Nombre;Estado;Descripcion;Tipo;Moneda;MontoEstimado;FuenteFinanciamiento;VisibilidadMonto;JustificacionMonto;FechaCreacion;FechaPublicacion;FechaCierre;FechaAdjudicacion;FechaEstimadaFirma;FechaInicioContrato;C_Unidad;C_RutUnidad;C_Usuario;C_Cargo;Resp_Contrato;Resp_Email;Resp_Pago;TiempoDuracionContrato;UnidadTiempoDuracion;EsRenovable
1057532-80-LE25;CONVENIO DE SUMINISTRO DE SERVICIO DE OXIGENOTERAPIA DOMICILIARIA PARA USUARIOS INGRESADOS AL PROGRAMA CUIDADOS PALIATIVOS UNIVERSALES APS SERVICIO DE SALUD OSORNO;Adjudicada;El Servicio requiere de un convenio para el suministro de oxigenoterapia domiciliaria a pacientes beneficiarios de ley 21.375 por enfermedad terminal o grave del Programa Cuidados Paliativos Universales APS, por un periodo estimado de 15 meses, de acuerdo a indicación médica en las distintas comunas de la provincia de Osorno y que no cumplan los requisitos para la entrega de oxígeno por otros medios, como es el Programa de Oxígeno ambulatorio o por GES N°4.;LE;CLP;12750000.0;Servicio de Salud Osorno;1;Según Resolución Exenta 15577 adjunta;2025-09-08T00:00:00;2025-09-25T11:53:27.307;2025-10-06T15:10:00;2025-10-23T16:29:14.283;;2025-09-25T12:30:00;Bienes y Servicios;61.607.600-0;JACQUELINE  OYARZUN ALVAREZ;Comprador administrativo;Maria Teresa Jaramillo;;Rodrigo Martinez Alvarado;15;4;0
1057532-77-LE25;Convenio de Servicios de Mantención Preventiva Correctiva y Certificación de 04 Ascensores de los Hospitales  PU MÜLEN Y FSLKMM AÑOS 2026 - 2027;Adjudicada;El Servicio requiere contratar, para el período 01.01.2026 al 31.12.2027, el “Convenio de Mantención Preventiva, Correctiva y Certificación de 4 Ascensores de los Hospitales Pu Mülen y Füta Srüka Lawenche Künko Mapu Mo”. La licitación garantizará mantenciones programadas y reparaciones en ambos recintos, al no contar los equipos con garantía técnica de postventa.;LE;CLP;0.0;Servicio Salud Osorno;0;;2025-09-08T00:00:00;2025-09-11T14:25:40.293;2025-09-23T15:00:00;2025-10-23T12:52:54.11;;2025-09-11T14:31:00;Bienes y Servicios;61.607.600-0;Rubén Uribe;Administrativo;Khris Silva V.;;erwin Camino B;24;4;0
1057532-66-LE25;PRESTACIONES DE REHABILITACIÓN INTEGRAL TEA 2° LLAMADO;Adjudicada;ADQUISICIÓN DE PRESTACIONES DE REHABILITACIÓN INTEGRAL PARA EVALUACIÓN DIAGNÓSTICA Y TRATAMIENTO EN NIÑOS, NIÑAS Y ADOLESCENTES CON TRASTORNO DEL ESPECTRO AUTISTA, 2° LLAMADO;LE;CLP;0.0;;0;;2025-08-11T00:00:00;2025-09-09T09:19:19.78;2025-09-22T15:01:00;2025-10-23T16:32:17.333;;2025-09-09T10:00:00;Bienes y Servicios;61.607.600-0;Lesly Andrea Díaz Aburto;Administrativo;KARIN AVILA;;RODRIGO MARTINEZ;4;4;0
