CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057922-9-LE25;1;Equipamiento y suministros médicos / Productos quirúrgicos / Equipo de perfusión de corazón abierto, monitores, accesorios y productos relacionados;42294710;Equipos y accesorios de calentador o enfriador de perfusión o calentador y enfriador dual;CALENTADOR DE COMPRESAS MÓVIL;Unidad;2.0;50.196.460-3;QUIMICOLOR LTDA;2500000.0;2.0
1057922-9-LE25;2;Equipos, suministros y accesorios deportivos y recreativos / Equipos para entrenamiento físico / Equipo de entrenamiento para aeróbic;49201503;Bicicletas estáticas;BICICLETA ESTÁTICA HORIZONTAL;Unidad;1.0;50.196.460-3;QUIMICOLOR LTDA;2450000.0;1.0
1057922-9-LE25;3;Equipos, suministros y accesorios deportivos y recreativos / Equipos para entrenamiento físico / Equipo de entrenamiento para aeróbic;49201503;Bicicletas estáticas;BICICLETA ESTÁTICA VERTICAL;Unidad;1.0;50.196.460-3;QUIMICOLOR LTDA;2100000.0;1.0
1057922-9-LE25;4;Equipamiento y suministros médicos / Productos de rehabilitación, terapia ocupacional y física / Productos de entrenamiento para caminar;42251706;Andadores, bicicletas o aparatos de ejercicio de marcha o accesorios;TROTADORA;Unidad;1.0;50.196.460-3;QUIMICOLOR LTDA;4400000.0;1.0
1057922-9-LE25;5;Equipamiento y suministros médicos / Productos quirúrgicos / Suministros quirúrgicos auxiliares;42295419;Estimuladores quirúrgicos de nervios o accesorios;ELECTROESTIMULADOR TENS;Unidad;1.0;96.625.550-1;ANDOVER ALIANZA MEDICA S A;318561.0;1.0
1057922-9-LE25;6;Equipamiento y suministros médicos / Productos de rehabilitación, terapia ocupacional y física / Equipo y dispositivos para ejercicios de rehabilitación;42251623;Aparatos de terapia ultrasónica o suministros;EQUIPO TERAPIA COMBINADA;Unidad;1.0;96.625.550-1;ANDOVER ALIANZA MEDICA S A;5295949.0;1.0
1057922-9-LE25;7;Equipamiento y suministros médicos / Productos de rehabilitación, terapia ocupacional y física / Equipo y dispositivos para ejercicios de rehabilitación;42251623;Aparatos de terapia ultrasónica o suministros;EQUIPO ULTRASONIDO TERAPÉUTICO;Unidad;1.0;96.625.550-1;ANDOVER ALIANZA MEDICA S A;2946958.0;1.0
1057532-32-CO25;1;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111808;Arriendo de vehículos;Arriendo de 01 vehículo para el traslado de los funcionarios del mamógrafo móvil del Servicio de Salud Osorno.;Unidad;1.0;77.172.073-0;"BARRÍA &amp; MEDINA TRANSPORTES LIMITADA";5819751.0;1.0
1057532-32-CO25;2;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111808;Arriendo de vehículos;Arriendo de 01 vehículo para la conducción de los funcionarios de la Subdirección de Gestión Asistencial del Servicio de Salud Osorno.;Unidad;1.0;77.172.073-0;"BARRÍA &amp; MEDINA TRANSPORTES LIMITADA";5819751.0;1.0
