CodigoLicitacion;Nombre;Estado;Descripcion;Tipo;Moneda;MontoEstimado;FuenteFinanciamiento;VisibilidadMonto;JustificacionMonto;FechaCreacion;FechaPublicacion;FechaCierre;FechaAdjudicacion;FechaEstimadaFirma;FechaInicioContrato;C_Unidad;C_RutUnidad;C_Usuario;C_Cargo;Resp_Contrato;Resp_Email;Resp_Pago;TiempoDuracionContrato;UnidadTiempoDuracion;EsRenovable
1057727-4-LE25;SER. ALIMENTACIÓN Y ORGANIZACION NAVIDAD SSO;Adjudicada;F1-217-NAM Contratar un servicio integral de organización, producción y alimentación para la Celebración de Navidad – Bienestar 2025, destinada a los hijos de los funcionarios del Servicio de Salud Osorno, a realizarse el sábado 6 de diciembre de 2025, en Osorno, entre 14:00 y 20:00 hrs, incluyendo infraestructura, animación y cumplimiento sanitario.;LE;CLP;30000000.0;Bienestar;1;;2025-11-11T12:39:21.48;2025-11-13T11:14:35.997;2025-11-24T15:00:00;2025-11-27T14:28:33.82;;2025-11-13T11:16:00;Bienestar;61.607.600-0;NICOLAS ASENCIO MOREIRA;COMPRADOR;Claudia Centeno;;Rodrigo Martinez Alvarado;0;1;0
1077241-18-CO25;CON. EXAMENES DE ENDOSCOPIA DIGESTIVA ALTA 3°LLAMADO SSO;Desierta (o art. 3 ó 9 Ley 19.886);CONVENIO DE PRESTACIÓN DE SERVICIO DE ENDOSCOPIA DIGESTIVA ALTA PARA PACIENTES DE HOSPITALES PTO. OCTAY, QUILACAHUIN Y FUTA SRUKA LAWENCHE DE LA RED DEL SERVICIO DE SALUD OSORNO, 3° LLAMADO;CO;CLP;0.0;;0;;2025-11-13T00:00:00;2025-11-20T12:49:03.917;2025-11-27T15:00:00;2025-12-27T17:00:00;;2025-11-20T13:00:00;Administración de Fondos;61.607.600-0;Lesly Andrea Díaz Aburto;Administrativo;Omar Contreras;;RODRIGO MARTINEZ;2;4;0
