CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-917-COT25;77.989.117-8;50181901;Pan fresco;"10 pan de pascua - Pan de pascua tipo ""Castaño""";10;12000;120000
1057532-917-COT25;77.989.117-8;52151504;Tazas o vasos desechables domésticos;100 Vasos plásticos para jugo;100;100;10000
1057532-917-COT25;77.989.117-8;52151502;Platos desechables domésticos;100 platos plásticos;100;120;12000
1057532-917-COT25;77.989.117-8;50181905;Galletas dulces o pastelitos;5 Bolsa de dulces;5;3455;17275
1057532-917-COT25;77.989.117-8;50202310;Agua mineral;20 Agua saborizada 1.6L litros;20;2100;42000
1057532-917-COT25;77.989.117-8;50181905;Galletas dulces o pastelitos;"30 galletas navideñas Tipo ""Mckay""";30;3560;106800
1057532-917-COT25;77.989.117-8;50161511;Chocolate o sucedáneo de chocolate;4 chocolate caliente;4;4500;18000
1057532-917-COT25;77.989.117-8;50201706;Café;1 café tipo referencia gold;1;15600;15600
1057532-917-COT25;77.989.117-8;50201712;Bebidas de Té;1 caja de te, 100 bolsas;1;9000;9000
1057532-917-COT25;77.989.117-8;50161509;Productos de edulcorantes o azúcares naturales;1 Kg Azucar;1;3409;3409
1057532-917-COT25;77.989.117-8;52151504;Tazas o vasos desechables domésticos;100 vasos de plumavit;100;90;9000
